Model,Age,KM,FuelType,HP,MetColor,Automatic,CC,Doors,Weight,Price
TOYOTA Corolla 1.6 VVT-i L. Sol Wagon Stationwagen,54,84598,Petrol,110,0,0,1600,5,1075,12500
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,50,83567,Petrol,110,0,0,1600,5,1075,10500
TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,50,83106,Petrol,110,1,0,1600,5,1075,12950
 TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,50,82805,Petrol,110,1,0,1600,3,1040,12200
TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,50,82735,Petrol,97,1,0,1400,3,1030,10950
 TOYOTA Corolla 1.6 LB LINEA SOL 4/5-Doors,54,81905,Petrol,110,1,0,1600,5,1105,10950
TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors,49,80320,Petrol,110,1,1,1600,3,1070,11290
TOYOTA Corolla 1.4 VVT-i Linea Sol HB 2/3-Doors,49,80090,Petrol,97,1,0,1400,3,1030,10750
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,53,79800,Petrol,110,0,0,1600,5,1075,10895
 TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,47,78785,CNG,110,1,0,1600,5,1119,11500
 TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,48,78600,Petrol,110,1,0,1600,5,1075,9750
TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,55,77780,Petrol,110,0,0,1600,3,1040,10250
TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,49,77648,Petrol,110,0,0,1600,4,1030,12500
 TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,54,77270,Petrol,110,1,0,1600,4,1035,11950
TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,50,76167,Petrol,97,1,0,1400,5,1060,10750
 TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,46,75249,Petrol,110,1,0,1600,4,1035,11450
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,54,75231,Petrol,110,1,0,1600,5,1080,11950
TOYOTA Corolla 1.6 G6 HB 2/3-Doors,48,75045,Petrol,110,1,0,1600,3,1055,11750
 TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA AUT4 4/5-Doors,50,74849,Petrol,110,1,1,1600,4,1060,10950
 TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,55,74715,Petrol,110,1,0,1600,5,1080,11950
 TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,49,74656,Diesel,69,0,0,1900,3,1105,10995
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,56,74500,Petrol,97,0,0,1400,3,1025,11450
 TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,49,74494,Petrol,110,1,0,1600,5,1075,8900
TOYOTA Corolla 1.6 4/5-Doors,50,73634,Petrol,110,0,0,1587,5,1075,10500
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,47,73403,Petrol,110,1,0,1600,5,1075,11750
 TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,49,73175,Petrol,97,1,0,1400,3,1030,11450
TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,52,73000,Petrol,110,0,0,1600,3,1055,12000
TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors,50,72242,Petrol,110,0,1,1600,3,1070,11950
 TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,53,72000,Petrol,97,1,0,1400,3,1025,9850
 TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,54,71725,Petrol,110,1,0,1600,4,1035,10950
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,54,71276,Petrol,110,0,0,1600,5,1080,10950
TOYOTA Corolla 1.9 D Linea Terra 2/3-Doors,50,70440,Diesel,69,1,0,1900,3,1105,8695
TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,53,70239,Petrol,110,0,0,1600,3,1040,10990
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,55,69813,Petrol,97,1,0,1400,3,1025,9500
 TOYOTA Corolla 1.3 16V HATCHB G6 2/3-Doors,49,69659,Petrol,86,0,0,1300,3,1025,11950
TOYOTA Corolla 1.4 16V VVT I LIFTB SOL 4/5-Doors,46,69574,Petrol,97,0,0,1400,5,1065,10750
 TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,47,69000,Diesel,69,1,0,1900,5,1140,8750
TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,49,68565,Petrol,110,1,0,1600,4,1030,8750
TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,55,68520,Diesel,72,1,0,2000,3,1115,11450
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,46,68414,Petrol,97,0,0,1400,3,1025,9950
TOYOTA Corolla 1.6 16V WAGON LINEA LUNA Stationwagen,56,66777,Petrol,110,0,0,1600,5,1090,11950
 TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,52,66527,Petrol,110,1,0,1600,5,1080,13950
 TOYOTA Corolla 1.6 16V VVT I HATCHB G6 4/5-Doors,54,66063,Petrol,110,1,0,1600,5,1090,11250
TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,50,65471,Petrol,97,1,0,1400,5,1060,10900
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,56,65400,Petrol,97,1,0,1400,3,1025,9750
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,52,65170,Petrol,97,1,0,1400,3,1025,9950
TOYOTA Corolla 1.6 sol lb 4/5-Doors,56,65000,Petrol,110,1,0,1600,5,1075,11950
TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,48,64193,Petrol,110,1,0,1600,3,1040,10450
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,54,64000,Petrol,97,1,0,1400,3,1025,8950
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,54,63792,Petrol,110,1,0,1600,5,1075,10250
TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,53,63635,Petrol,110,1,0,1600,4,1035,9930
 TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,54,63135,Petrol,110,1,0,1600,3,1050,10500
TOYOTA Corolla 1.6 SDN LINEA SOL 4/5-Doors,54,63123,Petrol,110,1,0,1600,4,1035,11950
TOYOTA Corolla 1.9 D Wagon Stationwagen,48,63000,Diesel,69,1,0,1900,5,1140,11500
TOYOTA Corolla 1.6 SDN LINEA SOL 4/5-Doors,55,63000,Petrol,110,0,0,1600,4,1035,11500
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,54,62987,Petrol,110,0,0,1600,5,1080,11450
 TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,56,62751,Petrol,110,0,0,1600,3,1050,9900
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,54,62519,Petrol,97,0,0,1400,3,1025,9500
 TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,50,62280,Petrol,97,1,0,1400,5,1060,10500
 TOYOTA Corolla 1.6 VVTI Linea Terra liftback 4/5-Doors,50,61672,Petrol,110,0,0,1600,5,1075,10750
TOYOTA Corolla LIFTBACK 1.9 D Linea Terra 4/5-Doors,54,61000,Diesel,69,0,0,2000,5,1140,8950
 TOYOTA Corolla 1.6 16V HATCHB S 2/3-Doors,56,61000,Petrol,110,1,0,1600,3,1050,12000
TOYOTA Corolla ! 1.6-16v vvt-i sol airco sedan 4/5-Doors,53,60558,Petrol,110,1,0,1600,4,1105,9940
 TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,47,60348,Petrol,110,0,0,1600,4,1030,10950
 TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,54,60239,Petrol,110,1,0,1600,5,1075,10750
 TOYOTA Corolla 1.4 VVTI Linea Terra 2/3-Doors,51,59000,Petrol,97,1,0,1400,3,1025,9799
TOYOTA Corolla 1.4 VVT-i Linea Luna liftback 4/5-Doors,51,58761,Petrol,97,0,0,1300,5,1060,11750
TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,54,58745,Petrol,110,1,0,1600,4,1035,11950
TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,52,58596,Petrol,110,1,0,1600,3,1045,11250
 TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,54,58530,Petrol,110,0,0,1600,5,1075,11750
TOYOTA Corolla 1.6 16V HATCHB S 2/3-Doors,55,58377,Petrol,110,1,0,1600,3,1050,10950
 TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,56,58142,Petrol,110,1,0,1600,5,1080,11250
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,53,57948,Petrol,97,1,0,1400,3,1025,9950
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,51,57645,Petrol,110,0,0,1600,5,1080,9700
 TOYOTA Corolla 1.6 SDN LINEA SOL 4/5-Doors,47,57500,Petrol,110,1,0,1600,4,1105,11950
 TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,53,57475,Petrol,110,0,0,1600,3,1040,9900
TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,55,56743,Petrol,110,0,0,1600,3,1045,9990
 TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,48,56675,Petrol,97,1,0,1400,3,1025,9475
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,54,55877,Petrol,110,1,0,1600,5,1075,11500
TOYOTA Corolla 1.6 VVTI Linea Sol Sedan 4/5-Doors,53,55500,Petrol,110,1,0,1600,4,1035,11950
 TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,55,54900,Petrol,97,1,0,1400,5,1060,11500
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,50,54465,Petrol,110,0,0,1600,5,1075,10500
 TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,46,53700,Petrol,97,1,0,1400,5,1060,10900
 TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,52,53561,Petrol,97,1,0,1400,5,1060,11700
TOYOTA Corolla 1.6 16v Liftback Linea So 4/5-Doors,51,53408,Petrol,110,1,0,1600,5,1080,11900
 TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,51,53268,Petrol,110,1,0,1600,5,1080,13950
 TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,49,53116,Petrol,97,1,0,1400,3,1025,10950
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,56,52448,Petrol,97,0,0,1400,3,1025,10500
TOYOTA Corolla 1.4 HB LINEA TERRA 2/3-Doors,55,52149,Petrol,97,1,0,1400,3,1085,10750
TOYOTA Corolla 1.6 16V LIFTB LINEA TERRA 4/5-Doors,55,52141,Petrol,110,1,0,1600,5,1070,11950
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,56,52000,Petrol,97,0,0,1400,3,1025,10000
 TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,48,50967,Petrol,97,1,0,1400,5,1060,10495
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,50,50400,Petrol,110,0,0,1600,5,1080,11450
 TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,54,50000,Petrol,97,1,0,1400,3,1025,9400
TOYOTA Corolla 1.3 G6 liftback 4/5-Doors,51,50000,Petrol,86,1,0,1300,5,1045,11950
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,53,49969,Petrol,110,0,0,1600,5,1075,9650
 TOYOTA Corolla 1.6 HB LINEA TERRA 2/3-Doors,49,49568,Petrol,110,1,0,1600,3,1105,18950
 TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,51,49473,Petrol,110,0,0,1600,3,1055,11450
TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,52,49432,Petrol,110,1,0,1600,3,1050,10250
TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,48,49417,Petrol,110,1,0,1600,3,1045,11450
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,54,49366,Petrol,97,1,0,1400,3,1025,9950
 TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,56,48731,Petrol,110,1,0,1600,3,1055,10500
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,54,48370,Petrol,110,1,0,1600,5,1080,13750
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,48,48071,Petrol,97,0,0,1400,3,1025,9950
TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,54,47852,Petrol,110,1,0,1600,4,1030,10250
 TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,54,47768,Petrol,110,0,0,1600,3,1055,10850
 TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,52,47689,Petrol,110,0,0,1600,5,1075,11895
TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,53,47451,Petrol,110,1,0,1600,3,1055,12950
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,50,47219,Petrol,110,1,0,1600,5,1080,11950
 TOYOTA Corolla 1.6 16V LIFTB LINEA TERRA 4/5-Doors,56,47211,Petrol,110,1,0,1600,5,1070,10750
 TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,54,46856,Petrol,97,0,0,1400,5,1060,9550
 TOYOTA Corolla 1.3 Linea Terra liftback 4/5-Doors,56,46500,Petrol,86,0,0,1300,5,1035,10950
TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,52,46449,Petrol,110,1,0,1600,4,1035,11750
 TOYOTA Corolla LIFTBACK 1.6 Linea terra 4/5-Doors,47,46391,Petrol,110,0,0,1600,5,1075,10950
TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,54,46230,Petrol,110,1,0,1600,3,1055,12450
 TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,52,46029,Petrol,110,1,0,1600,4,1030,10500
 TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,50,46000,Petrol,97,0,0,1400,3,1025,10900
 TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,50,45900,Petrol,110,1,0,1600,5,1075,12950
TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,47,45850,Petrol,97,0,0,1400,5,1060,10950
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,56,45336,Petrol,110,1,0,1600,5,1080,12500
 TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,55,44537,Petrol,97,0,0,1400,3,1025,9950
TOYOTA Corolla 1.3 16V HATCHB G6 2/3-Doors,56,43700,Petrol,86,1,0,1300,3,1025,10750
 TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,48,43120,Petrol,97,1,0,1400,3,1030,12500
TOYOTA Corolla 1.6 Hatchback 2/3-Doors,49,41710,Petrol,110,0,0,1600,3,1040,10450
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,52,41700,Petrol,97,1,0,1400,3,1025,10750
 TOYOTA Corolla 1.6 VVT-i Linea Sol 4/5-Doors,49,41636,Petrol,110,1,0,1600,5,1105,12950
TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,50,41273,Petrol,97,0,0,1400,5,1060,10995
TOYOTA Corolla 1.6 16V VVT I HATCHB SOL AUT4 2/3-Doors,49,40836,Petrol,110,0,1,1600,3,1075,11950
TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,50,40400,Petrol,97,1,0,1400,5,1060,11250
TOYOTA Corolla 1.6 16V VVT I HATCHB G6 4/5-Doors,47,40361,Petrol,110,1,0,1600,5,1090,11950
TOYOTA Corolla 1.3 16V LIFTB G6 4/5-Doors,54,40325,Petrol,86,0,0,1300,5,1045,13750
 TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,47,40000,Petrol,110,0,0,1600,5,1080,11000
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,50,39706,Petrol,110,1,0,1600,5,1080,13500
 TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,54,39291,Petrol,110,1,0,1600,3,1040,10950
 TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,54,39000,Petrol,97,0,0,1400,3,1025,10750
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,47,38900,Petrol,97,1,0,1400,3,1025,8950
TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,51,38403,Petrol,110,0,0,1600,3,1055,12950
 TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,56,37461,Petrol,97,0,0,1400,3,1025,9750
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,54,37000,Petrol,97,1,0,1400,3,1025,10900
 TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,55,36406,Petrol,110,1,0,1600,4,1035,10995
TOYOTA Corolla 1.4 16V VVT I LIFTB SOL 4/5-Doors,48,36005,Petrol,97,1,0,1400,5,1065,10750
 TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,52,36000,Petrol,110,1,0,1600,5,1075,10950
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,49,36000,Petrol,110,0,0,1600,5,1080,13000
 TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors,45,36000,Petrol,110,1,1,1600,3,1070,12950
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,52,35823,Petrol,110,0,0,1600,5,1075,11500
 TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,56,35230,Petrol,97,0,0,1400,3,1025,10950
TOYOTA Corolla 1.6 16V HATCHB LINEA LUNA 2/3-Doors,48,35142,Petrol,110,0,0,1600,3,1055,11710
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,49,34890,Petrol,97,0,0,1400,3,1025,9980
TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,51,34882,Petrol,110,1,0,1600,5,1075,12250
 TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,46,34000,Petrol,110,1,0,1600,5,1075,11500
TOYOTA Corolla 1.6 16v Liftback Linea Sol 4/5-Doors,56,33998,Petrol,110,0,0,1600,5,1080,11950
TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,55,33230,Petrol,110,0,0,1600,3,1050,11500
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,46,33021,Petrol,110,1,0,1600,5,1080,11900
 TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,49,31999,Petrol,97,0,0,1400,3,1030,11930
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,52,31579,Petrol,97,0,0,1400,3,1025,10500
TOYOTA Corolla 1.4 HB Terra 2/3-Doors,56,31000,Petrol,97,0,0,1400,3,1025,8950
TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,46,30806,Petrol,97,1,0,1400,5,1060,10450
 TOYOTA Corolla 1.3 16V WAGON LINEA TERRA Stationwagen,55,30461,Petrol,86,1,0,1300,5,1050,10500
TOYOTA Corolla 1.6 16V VVT I HATCHB SOL AUT4 2/3-Doors,50,29686,Petrol,110,1,1,1600,3,1075,12950
 TOYOTA Corolla 1.3 16V HATCHB G6 2/3-Doors,55,29650,Petrol,86,0,0,1300,3,1025,9950
 TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,52,29500,Petrol,110,1,0,1600,3,1055,12900
TOYOTA Corolla 1.4 HB LINEA TERRA 2/3-Doors,48,28656,Petrol,97,0,0,1400,3,1085,9950
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,55,27500,Petrol,97,1,0,1400,3,1025,9950
 TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,48,26938,Petrol,110,1,0,1600,3,1040,10950
TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,53,26624,Petrol,97,0,0,1400,5,1060,10950
 TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,47,26221,Petrol,97,1,0,1400,3,1025,9950
TOYOTA Corolla LIFTBACK 1.4 16V VVTI TERRA 4/5-Doors,50,22648,Petrol,97,1,0,1400,5,1060,10950
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,50,22500,Petrol,97,1,0,1400,3,1025,10800
 TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,56,19313,Petrol,97,0,0,1400,3,1025,10500
 TOYOTA Corolla 1.6 SDN LINEA TERRA 4/5-Doors,50,17619,Petrol,110,0,0,1600,4,1030,10450
 TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,51,17069,Petrol,97,1,0,1400,3,1025,10600
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,48,15000,Petrol,97,1,0,1400,3,1025,10450
 TOYOTA Corolla 1.4 16V VVT I LIFTB SOL 4/5-Doors,50,10210,Petrol,97,0,0,1400,5,1065,12950
TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors,47,5309,Petrol,110,1,1,1600,3,1070,11250
TOYOTA Corolla 2.0 d HB Diesel 2/3-Doors,50,1,Diesel,90,1,0,2000,3,1260,7500
TOYOTA Corolla 1.4 VVT-i Terra 2/3-Doors,52,31000,Petrol,97,0,0,1398,3,1025,8950
TOYOTA Corolla 2.0 DSL SEDAN LINEA TERRA 4/5-Doors,58,205000,Diesel,72,1,0,2000,4,1100,6950
TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,68,204250,Diesel,72,0,0,2000,3,1115,7900
TOYOTA Corolla 1.3 16V SEDAN LINEA TERRA 4/5-Doors,68,194545,Petrol,86,0,0,1300,4,1000,5950
TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,59,190900,Diesel,72,1,0,2000,3,1115,7500
TOYOTA Corolla 2.0 DSL LIFTB LINEA LUNA 4/5-Doors,62,183500,Diesel,72,1,0,2000,5,1140,7500
TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,65,176184,Diesel,72,1,0,2000,3,1115,6900
TOYOTA Corolla 2.0 DSL SEDAN LINEA TERRA 4/5-Doors,67,174833,Diesel,72,0,0,2000,4,1100,5751
TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,68,155720,Petrol,86,1,0,1300,3,1015,6950
TOYOTA Corolla 1.6 Linea Terra Comfort 4/5-Doors,67,155500,Petrol,110,1,0,1600,5,1050,7950
TOYOTA Corolla 2.0 DSL HATCHB LINEA LUNA 2/3-Doors,59,154783,Diesel,72,1,0,2000,3,1120,7750
TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,64,154462,Diesel,72,1,0,2000,5,1135,7950
TOYOTA Corolla 1.6 16V HATCHB G6 2/3-Doors,64,150585,Petrol,110,1,0,1600,3,1065,8250
TOYOTA Corolla 2.0diesel Stationwagen,67,149000,Diesel,90,1,0,2000,5,1135,6250
TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,62,147636,Diesel,72,0,0,2000,5,1135,9500
TOYOTA Corolla 2.0D TERRA LIFTBACK 4/5-Doors,59,144521,Diesel,72,1,0,2000,5,1135,6900
TOYOTA Corolla 1.6 16V G6 2/3-Doors,64,144000,CNG,110,1,0,1600,3,1065,8450
TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,65,140168,Diesel,72,1,0,2000,3,1115,7350
TOYOTA Corolla 1.6 16V WAGON LINEA TERRA Stationwagen,68,140000,Petrol,110,1,0,1600,5,1085,8950
TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,60,139800,Diesel,72,0,0,2000,3,1115,6900
TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,59,137050,CNG,110,1,0,1600,3,1078,8950
TOYOTA Corolla 1.6 16V HATCHB G6 2/3-Doors,61,136956,Petrol,110,0,0,1600,3,1065,8750
TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,67,135337,CNG,110,1,0,1600,5,1120,7950
TOYOTA Corolla 2.0 DSL HATCHB LINEA LUNA 2/3-Doors,64,133769,Diesel,72,1,0,2000,3,1120,8950
TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,58,133405,Diesel,72,1,0,2000,5,1135,8950
TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,65,132807,Diesel,72,1,0,2000,5,1135,8950
TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,64,132393,Diesel,72,0,0,2000,5,1135,7950
TOYOTA Corolla 1.6 16V HATCHB S 2/3-Doors,60,130270,Petrol,110,0,0,1600,3,1050,7750
TOYOTA Corolla 2.0D XL Sedan 4/5-Doors,59,130000,Diesel,72,1,0,2000,4,1135,7500
TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,67,127000,Diesel,72,1,0,2000,5,1135,8950
TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,67,126800,Diesel,72,0,0,2000,5,1135,9800
TOYOTA Corolla 1.6 16V WAGON LINEA TERRA Stationwagen,66,126452,Petrol,110,1,0,1600,5,1085,9450
TOYOTA Corolla Sw 20D Linea Terra Stationwagen,62,125175,Diesel,116,0,0,2000,5,1150,8950
TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,68,125000,Diesel,72,1,0,2000,3,1115,8750
TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,61,123000,Diesel,72,0,0,2000,5,1135,10500
TOYOTA Corolla 1.3 16V WAGON LINEA TERRA Stationwagen,59,121626,Petrol,86,0,0,1300,5,1050,7995
TOYOTA Corolla 1.6 16V WAGON LINEA LUNA Stationwagen,64,120400,Petrol,110,0,0,1600,5,1090,10450
TOYOTA Corolla 2.0 DSL SEDAN LINEA TERRA 4/5-Doors,66,120000,Diesel,72,0,0,2000,4,1100,9950
TOYOTA Corolla 1.6 16V HATCHB LINEA LUNA 2/3-Doors,68,119541,Petrol,110,0,0,1600,3,1055,9950
TOYOTA Corolla 1.6 VVT-i Linea Terra Comfort 4/5-Doors,68,119500,Petrol,110,1,0,1600,5,1070,8950
